label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!", Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven.  , Give your money to the Church.,"IsGiven(b, a),  IsInLimbo(c),  IsFreedFromLimbo(c),  EntersHeaven(c)","IsGiven(f, a)",[],"[(' the Church', ' the Church')]","[(' Your income', ' Your money')]","(IsGiven(b, a) and IsInLimbo(c) and IsFreedFromLimbo(c)) and EntersHeaven(c)","IsGiven(f, a)","(exists b ((IsGiven(b, a) and IsInLimbo(c) and IsFreedFromLimbo(c)) and EntersHeaven(c))) -> (forall f (IsGiven(f, a)))","(exists c (exists b (exists a ((IsGiven(b, a) and IsInLimbo(c) and IsFreedFromLimbo(c)) and EntersHeaven(c))))) -> (exists f (exists a (IsGiven(f, a))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!", Jesus lived a beautiful life.  , Everyone should live life like Jesus lived his life.,"Lived(a, b),  IsBeautiful(b)","Live(c, d),  Like(c, a),  Live(a, e)",[],"[(' Jesus', ' Jesus')]","[(' a beautiful life', ' life')]","Lived(a, b) and IsBeautiful(b)","Live(c, d) and Like(c, a) and Live(a, e)","(exists b (Lived(a, b) and IsBeautiful(b))) -> (forall d (Live(c, d) and Like(c, a) and Live(a, e)))","(exists b (exists a (Lived(a, b) and IsBeautiful(b)))) -> (exists c (exists e (exists d (exists a (Live(c, d) and Like(c, a) and Live(a, e))))))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma knitted the kitty-cat sweater., You should wear the kitty-cat sweater in the family holiday photo.,"IsKnittedBy(a, b)","IsWearing(c, a),  IsInFamilyHolidayPhoto(c)",[],"[(' kitty-cat sweater', ' kitty-cat sweater')]",[],"IsKnittedBy(a, b)","IsWearing(c, a) and IsInFamilyHolidayPhoto(c)","(IsKnittedBy(a, b)) -> (IsWearing(c, a) and IsInFamilyHolidayPhoto(c))","(exists b (exists a (IsKnittedBy(a, b)))) -> (exists c (exists a (IsWearing(c, a) and IsInFamilyHolidayPhoto(c))))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"BreaksInto(b, a),  IsSpooky(a)","BreaksInto(c, a),  IsSpooky(a)",[],"[(' the spooky cabin', ' spooky cabin')]",[],Input Sentence: Everyone breaks into the spooky cabin.,"IsSpooky(a) and BreaksInto(c, a)","(Input Sentence: Everyone breaks into the spooky cabin.) -> (IsSpooky(a) and BreaksInto(c, a))","(Input Sentence: Everyone breaks into the spooky cabin.) -> (exists c (exists a (IsSpooky(a) and BreaksInto(c, a))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.", Ms. Drayer is the smartest person in the universe and says the debate is the best class.  , The debate is the best class.,"IsSmartestPersonInUniverse(c),  SaysBestClass(a),  IsDebate(b)","IsDebate(a),  IsBestClass(a)",[],"[(' the debate', ' The debate'), (' the best class', ' the best class')]",[],IsSmartestPersonInUniverse(c) and IsDebate(a) and SaysBestClass(a),IsDebate(a) and IsBestClass(a),(IsSmartestPersonInUniverse(c) and IsDebate(a) and SaysBestClass(a)) -> (IsDebate(a) and IsBestClass(a)),(exists c (exists a (IsSmartestPersonInUniverse(c) and IsDebate(a) and SaysBestClass(a)))) -> (exists a (IsDebate(a) and IsBestClass(a)))
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!, A blond crossed the road to go to a shoe sale.  , Blonds love shoe sales.,"IsBlond(a),  CrossesRoad(a, b),  GoesToShoeSale(a, c)",LovesShoeSales(a),[],"[(' A blond', ' Blonds')]",[],"IsBlond(a) and CrossesRoad(a, b) and GoesToShoeSale(a, c)",IsBlond(a) and LovesShoeSales(a),"(IsBlond(a) and CrossesRoad(a, b) and GoesToShoeSale(a, c)) -> (IsBlond(a) and LovesShoeSales(a))","(exists c (exists b (exists a (IsBlond(a) and CrossesRoad(a, b) and GoesToShoeSale(a, c))))) -> (exists a (IsBlond(a) and LovesShoeSales(a)))"
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
", Timmy will burn in Hell forever if he does not believe in God.  , Timmy must believe in God.,"BurnsInHellForever(a),  DoesNotBelieveIn(a, b)","MustBelieveIn(a, b)",[],"[(' Timmy', ' Timmy'), (' God', ' God')]",[],"DoesNotBelieveIn(a, b) and BurnsInHellForever(a)","MustBelieveIn(a, b)","(DoesNotBelieveIn(a, b) and BurnsInHellForever(a)) -> (MustBelieveIn(a, b))","(exists b (exists a (DoesNotBelieveIn(a, b) and BurnsInHellForever(a)))) -> (exists b (exists a (MustBelieveIn(a, b))))"
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You have never given money to charity.""  "," ""You are a greedy millionaire.""  ","HasNeverGiven(a, b, c)","IsGreedy(d),  IsMillionaire(d),  RefersTo(a, d)",[],"[(' You', ' You')]",[],"HasNeverGiven(a, b, c)","RefersTo(a, d) and IsGreedy(d) and IsMillionaire(d)","(HasNeverGiven(a, b, c)) -> (RefersTo(a, d) and IsGreedy(d) and IsMillionaire(d))","(exists c (exists b (exists a (HasNeverGiven(a, b, c))))) -> (exists d (exists a (RefersTo(a, d) and IsGreedy(d) and IsMillionaire(d))))"
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl., Caroline is going to have lunch with the new girl.  , Caroline is ditching her old friends for the new girl.,"WillHaveLunchWith(a, c)","IsDitching(a, d),  IsFor(a, e)",[],"[(' Caroline', ' Caroline')]",[],"WillHaveLunchWith(a, c)","IsDitching(a, d) and IsFor(a, e)","(WillHaveLunchWith(a, c)) -> (IsDitching(a, d) and IsFor(a, e))","(exists c (exists a (WillHaveLunchWith(a, c)))) -> (exists e (exists d (exists a (IsDitching(a, d) and IsFor(a, e)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""You can't give anyone a break."""," ""People will walk all over you.""","CannotGiveBreak(a, b)","WillWalkAllOver(c, a)",[],"[(' You', ' you')]","[(' You', ' People'), (' anyone', ' People')]","CannotGiveBreak(a, b)","WillWalkAllOver(c, a)","(exists b (exists a (CannotGiveBreak(a, b)))) -> (forall c (WillWalkAllOver(c, a)))","(exists b (exists a (CannotGiveBreak(a, b)))) -> (exists c (exists a (WillWalkAllOver(c, a))))"
